"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
57,"UFG","Uni Fuels Holdings Ltd","Industrials","Marine Shipping","Singapore",23.90,,0.74,-3.91%,117086
58,"PRZO","ParaZero Technologies Ltd","Industrials","Aerospace & Defense","Israel",25.71,,1.37,-3.52%,1187937
59,"SIDU","Sidus Space Inc","Industrials","Aerospace & Defense","USA",26.11,,0.74,-8.11%,792665
60,"NIXX","Nixxy Inc","Industrials","Staffing & Employment Services","USA",27.61,,1.11,-3.48%,303048
61,"VNTG","Vantage Corp","Industrials","Marine Shipping","Singapore",28.25,,0.89,1.07%,52076
62,"BTOC","Armlogi Holding Corp","Industrials","Integrated Freight & Logistics","USA",28.49,,0.63,-0.13%,109432
63,"AERT","Aeries Technology Inc","Industrials","Consulting Services","Singapore",30.97,,0.63,-0.80%,126289
64,"EPOW","Sunrise New Energy Co. Ltd","Industrials","Electrical Equipment & Parts","China",33.63,,1.06,-6.61%,673842
65,"FLUX","Flux Power Holdings inc","Industrials","Electrical Equipment & Parts","USA",33.72,,1.58,-7.06%,196955
66,"MGN","Megan Holdings Ltd","Industrials","Engineering & Construction","Malaysia",34.45,33.12,2.12,3.41%,48328
67,"SDST","Stardust Power Inc","Industrials","Electrical Equipment & Parts","USA",34.46,,3.51,-2.77%,60475
68,"CVU","CPI Aerostructures Inc","Industrials","Aerospace & Defense","USA",37.97,,2.88,1.05%,51341
69,"MOB","Mobilicom Limited ADR","Industrials","Aerospace & Defense","Israel",38.61,,8.01,7.81%,515303
70,"MSGY","Masonglory Ltd","Industrials","Engineering & Construction","Hong Kong",40.26,,2.83,0.71%,272132
71,"CLIR","ClearSign Technologies Corp","Industrials","Pollution & Treatment Controls","USA",40.77,,0.77,0.68%,25670
72,"GWH","ESS Tech Inc","Industrials","Electrical Equipment & Parts","USA",42.37,,2.16,-9.24%,521948
73,"SVRN","OceanPal Inc","Industrials","Marine Shipping","Greece",43.26,,1.39,-0.71%,59827
74,"QRHC","Quest Resource Holding Corp","Industrials","Waste Management","USA",44.04,,2.11,9.90%,402585
75,"RYOJ","rYojbaba Co. Ltd","Industrials","Consulting Services","Japan",45.34,5037.50,4.03,1.38%,40458
76,"SCWO","374Water Inc","Industrials","Pollution & Treatment Controls","USA",45.66,,0.27,-2.21%,664097
77,"CIGL","Concorde International Group Ltd","Industrials","Security & Protection Services","Singapore",45.77,,2.05,12.64%,31371
78,"XTIA","XTI Aerospace Inc","Industrials","Aerospace & Defense","USA",46.89,,1.43,-8.92%,1845922
79,"XCH","XCHG Ltd ADR","Industrials","Specialty Industrial Machinery","Germany",50.33,,1.23,-10.87%,35446
80,"BGSF","BGSF Inc","Industrials","Staffing & Employment Services","USA",50.51,,4.51,1.12%,51040
81,"FTEK","Fuel Tech Inc","Industrials","Pollution & Treatment Controls","USA",52.52,,1.69,-5.59%,84653
82,"YSXT","Ysx Tech Co.Ltd","Industrials","Specialty Business Services","China",53.91,12.81,2.30,-1.29%,385129
83,"KSCP","Knightscope Inc","Industrials","Security & Protection Services","USA",54.55,,4.74,-3.66%,288128
84,"RITR","Reitar Logtech Holdings Ltd","Industrials","Engineering & Construction","Hong Kong",58.07,58.13,0.93,2.20%,36257
85,"ZONE","CleanCore Solutions Inc","Industrials","Pollution & Treatment Controls","USA",59.97,,0.30,-5.46%,1854856
86,"STI","Solidion Technology Inc","Industrials","Electrical Equipment & Parts","USA",62.63,,8.39,-3.89%,34624
87,"LASE","Laser Photonics Corp","Industrials","Specialty Industrial Machinery","USA",62.71,,2.79,-4.45%,209898
