"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
151,"AHR","American Healthcare REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",9396.39,355.89,50.11,0.28%,1330285
152,"REXR","Rexford Industrial Realty Inc","Real Estate","REIT - Industrial","USA",9482.37,28.71,40.73,-1.12%,2236617
153,"EGP","Eastgroup Properties, Inc","Real Estate","REIT - Industrial","USA",9597.95,37.74,179.91,-0.32%,298400
154,"AGNC","AGNC Investment Corp","Real Estate","REIT - Mortgage","USA",11392.33,16.06,10.62,1.24%,23149456
155,"AMH","American Homes 4 Rent","Real Estate","REIT - Residential","USA",11441.19,26.15,30.83,-0.26%,2912510
156,"GLPI","Gaming and Leisure Properties Inc","Real Estate","REIT - Specialty","USA",11855.22,15.05,41.89,-2.06%,2756836
157,"HST","Host Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",11869.52,16.26,17.26,0.58%,8610761
158,"BXP","BXP Inc","Real Estate","REIT - Office","USA",12066.18,,69.28,-1.81%,1915933
159,"DOC","Healthpeak Properties Inc","Real Estate","REIT - Healthcare Facilities","USA",12083.35,,17.02,-0.93%,6358031
160,"ELS","Equity Lifestyle Properties Inc","Real Estate","REIT - Residential","USA",12393.12,32.31,61.69,-0.61%,1395125
161,"REG","Regency Centers Corporation","Real Estate","REIT - Retail","USA",12565.30,31.43,68.70,-0.54%,1007590
162,"LAMR","Lamar Advertising Co","Real Estate","REIT - Specialty","USA",13455.53,31.24,132.85,0.26%,452026
163,"OHI","Omega Healthcare Investors, Inc","Real Estate","REIT - Healthcare Facilities","USA",13514.54,25.69,45.73,-0.39%,1612732
164,"KIM","Kimco Realty Corporation","Real Estate","REIT - Retail","USA",13631.92,24.15,20.13,-1.13%,3069789
165,"WPC","W. P. Carey Inc","Real Estate","REIT - Diversified","USA",14531.51,40.12,66.31,-0.75%,959630
166,"CPT","Camden Property Trust","Real Estate","REIT - Residential","USA",14656.98,42.01,103.88,-0.60%,764310
167,"JLL","Jones Lang Lasalle Inc","Real Estate","Real Estate Services","USA",15462.85,25.12,327.64,0.04%,237695
168,"NLY","Annaly Capital Management Inc","Real Estate","REIT - Mortgage","USA",15620.92,10.59,22.87,0.44%,5100674
169,"WY","Weyerhaeuser Co","Real Estate","REIT - Specialty","USA",15635.48,47.51,21.69,1.36%,7305601
170,"MAA","Mid-America Apartment Communities, Inc","Real Estate","REIT - Residential","USA",15821.11,27.90,131.67,-0.90%,874502
171,"SUI","Sun Communities, Inc","Real Estate","REIT - Residential","USA",15858.00,16.05,128.23,0.71%,662241
172,"INVH","Invitation Homes Inc","Real Estate","REIT - Residential","USA",16637.38,52.20,27.14,-0.88%,3526093
173,"ESS","Essex Property Trust, Inc","Real Estate","REIT - Residential","USA",17023.08,19.42,255.37,-0.85%,314333
174,"UDR","UDR Inc","Real Estate","REIT - Residential","USA",18666.06,80.55,35.20,-0.06%,2071872
