"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
87,"SLI","Standard Lithium Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",1086.56,8.80,4.56,-3.39%,2498819
88,"METC","Ramaco Resources Inc","Basic Materials","Coking Coal","USA",1107.14,,17.64,-3.08%,3527274
89,"NAK","Northern Dynasty Minerals Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",1143.74,,2.07,-0.96%,10441919
90,"CRML","Critical Metals Corp","Basic Materials","Other Industrial Metals & Mining","United Kingdom",1188.81,,10.10,1.61%,12117907
91,"USAS","Americas Gold and Silver Corp","Basic Materials","Other Industrial Metals & Mining","Canada",1253.23,,4.58,2.46%,2515790
92,"LAC","Lithium Americas Corp (NewCo)","Basic Materials","Other Industrial Metals & Mining","Canada",1292.58,,5.33,-2.02%,12219921
93,"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima ADR","Basic Materials","Building Materials","Argentina",1426.07,38.78,12.22,-0.81%,536910
94,"FMC","FMC Corp","Basic Materials","Agricultural Inputs","USA",1658.94,,13.28,-0.08%,4994234
95,"ALM","Almonty Industries Inc","Basic Materials","Other Industrial Metals & Mining","Canada",1676.06,,7.24,0.56%,1481655
96,"CLMT","Calumet Inc","Basic Materials","Specialty Chemicals","USA",1677.83,,19.34,-0.57%,449961
97,"VZLA","Vizsla Silver Corp","Basic Materials","Other Industrial Metals & Mining","Canada",1723.89,,5.01,1.21%,3821478
98,"SVM","Silvercorp Metals Inc","Basic Materials","Silver","Canada",1742.65,70.00,7.91,1.02%,6055318
99,"HUN","Huntsman Corp","Basic Materials","Chemicals","USA",1744.46,,10.04,0.30%,4820795
100,"WS","Worthington Steel Inc","Basic Materials","Steel","USA",1825.92,15.24,35.92,-1.18%,182578
101,"IOSP","Innospec Inc","Basic Materials","Specialty Chemicals","USA",1859.31,,75.04,1.39%,230644
102,"NGVT","Ingevity Corp","Basic Materials","Specialty Chemicals","USA",1902.86,,52.91,1.26%,255109
103,"CC","Chemours Company","Basic Materials","Specialty Chemicals","USA",1903.63,,12.70,1.28%,2383107
104,"TGB","Taseko Mines Ltd","Basic Materials","Copper","Canada",1910.17,,5.30,-0.93%,6620687
105,"SLVM","Sylvamo Corp","Basic Materials","Paper & Paper Products","USA",1921.83,11.18,48.73,1.82%,268770
106,"IE","Ivanhoe Electric Inc","Basic Materials","Copper","USA",2157.70,,14.91,-2.42%,3076985
107,"SID","Companhia Siderurgica Nacional ADR","Basic Materials","Steel","Brazil",2174.79,,1.64,-7.87%,4809897
108,"USAR","USA Rare Earth Inc","Basic Materials","Other Industrial Metals & Mining","USA",2284.04,,17.22,-1.49%,14110750
109,"AMR","Alpha Metallurgical Resources Inc","Basic Materials","Coking Coal","USA",2302.36,,179.06,-2.95%,242691
110,"OLN","Olin Corp","Basic Materials","Chemicals","USA",2334.93,44.11,20.46,0.10%,2598337
111,"TGLS","Tecnoglass Inc","Basic Materials","Building Materials","Colombia",2390.41,13.35,51.33,-0.02%,367354
112,"CSTM","Constellium SE","Basic Materials","Aluminum","France",2448.74,22.11,17.77,-2.26%,1441676
113,"DRD","DRDGold Ltd. ADR","Basic Materials","Gold","South Africa",2517.73,20.46,29.10,1.78%,325298
114,"EXK","Endeavour Silver Corp","Basic Materials","Silver","Canada",2550.54,,8.67,-0.23%,13887196
115,"ERO","Ero Copper Corp","Basic Materials","Copper","Canada",2597.25,18.88,25.00,-0.52%,1149893
116,"CGAU","Centerra Gold Inc","Basic Materials","Gold","Canada",2664.85,8.03,13.21,-0.68%,621687
117,"SKE","Skeena Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",2671.25,,22.06,2.46%,684687
118,"ASH","Ashland Inc","Basic Materials","Specialty Chemicals","USA",2678.62,,58.59,0.51%,948208
119,"BCC","Boise Cascade Co","Basic Materials","Lumber & Wood Production","USA",2706.00,14.45,73.05,-1.63%,466336
120,"AAUC","Allied Gold Corp","Basic Materials","Gold","Canada",2756.39,,22.22,0.91%,683530
121,"AVNT","Avient Corp","Basic Materials","Specialty Chemicals","USA",2810.09,24.89,30.69,-0.81%,624384
122,"FSM","Fortuna Mining Corp","Basic Materials","Gold","Canada",2842.45,12.51,9.26,-0.43%,6529815
123,"ARMN","Aris Mining Corp","Basic Materials","Gold","Canada",2868.20,56.04,14.15,0.00%,1137112
124,"TTAM","Titan America SA","Basic Materials","Building Materials","Belgium",2870.52,15.85,15.57,-1.58%,248209
125,"CENX","Century Aluminum Co","Basic Materials","Aluminum","USA",2901.07,38.92,31.08,0.71%,1596413
126,"MEOH","Methanex Corp","Basic Materials","Chemicals","Canada",2946.65,12.00,38.10,1.93%,451483
127,"SMG","Scotts Miracle-Gro Company","Basic Materials","Agricultural Inputs","USA",3121.31,22.19,53.82,-1.64%,661534
