"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
85,"CCHH","CCH Holdings Ltd","Consumer Cyclical","Restaurants","Malaysia",220.80,,11.47,9.45%,124280
86,"DIBS","1stdibs.com Inc","Consumer Cyclical","Internet Retail","USA",222.62,,6.08,-1.78%,387441
87,"FLWS","1-800 Flowers.com Inc","Consumer Cyclical","Specialty Retail","USA",222.83,,3.50,0.29%,248748
88,"NIU","Niu Technologies ADR","Consumer Cyclical","Auto Manufacturers","China",223.70,,3.21,-8.02%,855491
89,"XWIN","XMax Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",231.97,,5.54,0.54%,807182
90,"PLBY","Playboy Inc","Consumer Cyclical","Leisure","USA",232.76,,2.16,-0.92%,1842266
91,"WW","WW International Inc","Consumer Cyclical","Personal Services","USA",240.78,0.21,24.11,-6.98%,293474
92,"DBI","Designer Brands Inc","Consumer Cyclical","Footwear & Accessories","USA",241.77,,4.88,3.61%,717452
93,"AHMA","Ambitions Enterprise Management Co LLC","Consumer Cyclical","Travel Services","United Arab Emirates",242.49,934.09,8.22,-37.73%,1054882
94,"CHPT","ChargePoint Holdings Inc","Consumer Cyclical","Specialty Retail","USA",243.57,,10.43,22.42%,3030744
95,"INVZ","Innoviz Technologies Ltd","Consumer Cyclical","Auto Parts","Israel",263.02,,1.31,-0.76%,2772177
96,"BNED","Barnes & Noble Education Inc","Consumer Cyclical","Specialty Retail","USA",301.38,,8.85,-2.64%,167655
97,"EM","Smart Share Global Ltd ADR","Consumer Cyclical","Personal Services","China",305.34,,1.41,3.68%,655426
98,"DENN","Denny's Corp","Consumer Cyclical","Restaurants","USA",317.75,31.51,6.17,-0.16%,1765681
99,"HYLN","Hyliion Holdings Corporation","Consumer Cyclical","Auto Parts","USA",337.87,,1.92,-3.03%,695153
100,"LOCO","El Pollo Loco Holdings Inc","Consumer Cyclical","Restaurants","USA",338.19,12.80,11.29,0.62%,237855
101,"XPOF","Xponential Fitness Inc","Consumer Cyclical","Leisure","USA",345.20,,7.08,2.02%,360833
102,"JACK","Jack In The Box, Inc","Consumer Cyclical","Restaurants","USA",356.02,,18.84,-2.53%,539087
103,"PTLO","Portillos Inc","Consumer Cyclical","Restaurants","USA",364.81,13.38,4.84,-2.22%,2141303
104,"BRCB","Black Rock Coffee Bar Inc","Consumer Cyclical","Restaurants","USA",424.24,,24.27,-0.12%,237933
105,"PACK","Ranpak Holdings Corp","Consumer Cyclical","Packaging & Containers","USA",434.54,,5.15,2.79%,272124
106,"BBBY","Bed Bath & Beyond Inc","Consumer Cyclical","Internet Retail","USA",435.12,,6.32,-3.22%,1545596
107,"CAL","Caleres Inc","Consumer Cyclical","Apparel Retail","USA",451.13,7.65,13.33,-1.04%,1334934
108,"TRON","Tron Inc","Consumer Cyclical","Leisure","USA",478.24,,1.86,-7.00%,774395
109,"SCVL","Shoe Carnival, Inc","Consumer Cyclical","Apparel Retail","USA",480.12,8.34,17.54,-3.73%,483142
110,"DIN","Dine Brands Global Inc","Consumer Cyclical","Restaurants","USA",481.61,14.94,33.39,2.49%,653127
111,"LE","Lands' End, Inc","Consumer Cyclical","Apparel Retail","USA",503.83,88.91,16.51,-0.36%,140988
112,"ORBS","Eightco Holdings Inc","Consumer Cyclical","Packaging & Containers","USA",514.36,,2.60,-7.14%,1706165
113,"HLLY","Holley Inc","Consumer Cyclical","Auto Parts","USA",518.19,,4.30,-1.15%,696919
114,"HZO","Marinemax, Inc","Consumer Cyclical","Specialty Retail","USA",520.93,,23.82,-0.79%,225782
